city,country,country_params,distance,id,lat,localized_country_name,lon,member_count,ranking,state,state_params,zip
Birmingham,us,US,664.7855187028267,35201,33.52000045776367,USA,-86.80999755859375,6151,0,AL,AL,35201
Huntsville,us,US,701.4526731268742,35801,34.72999954223633,USA,-86.56999969482422,4475,1,AL,AL,35801
Mobile,us,US,573.1788317474062,36601,30.700000762939453,USA,-88.05000305175781,2242,2,AL,AL,36601
Montgomery,us,US,678.1864761083003,36101,32.400001525878906,USA,-86.33000183105469,1677,3,AL,AL,36101
Madison,us,US,685.1717087151818,35756,34.58000183105469,USA,-86.81999969482422,1041,4,AL,AL,35756
Dothan,us,US,727.627819014148,36301,31.200000762939453,USA,-85.41999816894531,916,5,AL,AL,36301
Tuscaloosa,us,US,618.5782672692336,35401,33.189998626708984,USA,-87.55999755859375,846,6,AL,AL,35401
Opelika,us,US,734.0221068223212,36801,32.63999938964844,USA,-85.37999725341797,491,7,AL,AL,36801
Florence,us,US,648.7285112018308,35630,34.81999969482422,USA,-87.66000366210938,476,8,AL,AL,35630
Decatur,us,US,677.2056055473792,35601,34.59000015258789,USA,-86.9800033569336,417,9,AL,AL,35601
Anniston,us,US,720.2466621272441,36201,33.65999984741211,USA,-85.83000183105469,376,10,AL,AL,36201
Gadsden,us,US,719.8931422200928,35901,34.0099983215332,USA,-85.94000244140625,341,11,AL,AL,35901
Auburn,us,US,728.6169051296441,36830,32.599998474121094,USA,-85.47000122070312,335,12,AL,AL,36830
Phenix City,us,US,753.4153303509211,36867,32.470001220703125,USA,-85.0199966430664,280,13,AL,AL,36867
Helena,us,US,660.9681710660955,35080,33.310001373291016,USA,-86.81999969482422,208,14,AL,AL,35080
Athens,us,US,682.8070554969096,35611,34.79999923706055,USA,-86.97000122070312,206,15,AL,AL,35611
Daphne,us,US,582.923390717911,36526,30.6200008392334,USA,-87.88999938964844,199,16,AL,AL,36526
Fairhope,us,US,584.5826831673951,36532,30.5,USA,-87.87000274658203,198,17,AL,AL,36532
Pelham,us,US,662.4652718333729,35124,33.29999923706055,USA,-86.79000091552734,168,18,AL,AL,35124
Alabaster,us,US,659.9430276707507,35007,33.2400016784668,USA,-86.81999969482422,166,19,AL,AL,35007
Prattville,us,US,672.4807047903453,36066,32.470001220703125,USA,-86.44000244140625,160,20,AL,AL,36066
Enterprise,us,US,702.7852369461401,36330,31.329999923706055,USA,-85.83999633789062,160,21,AL,AL,36330
Bessemer,us,US,655.7869790791736,35020,33.400001525878906,USA,-86.94000244140625,138,22,AL,AL,35020
Trussville,us,US,679.2173426866,35173,33.63999938964844,USA,-86.58000183105469,127,23,AL,AL,35173
Jacksonville,us,US,725.5458823410672,36265,33.83000183105469,USA,-85.77999877929688,125,24,AL,AL,36265
Harvest,us,US,695.1824912726611,35749,34.83000183105469,USA,-86.73999786376953,122,25,AL,AL,35749
Foley,us,US,595.1952813513235,36535,30.399999618530273,USA,-87.69999694824219,107,26,AL,AL,36535
Theodore,us,US,566.0093409588089,36582,30.530000686645508,USA,-88.18000030517578,104,27,AL,AL,36582
Arab,us,US,696.0868342358658,35016,34.31999969482422,USA,-86.5,101,28,AL,AL,35016
Cullman,us,US,675.175287523837,35055,34.16999816894531,USA,-86.83999633789062,96,29,AL,AL,35055
Wetumpka,us,US,687.177592704904,36092,32.529998779296875,USA,-86.19000244140625,90,30,AL,AL,36092
Owens Cross Roads,us,US,704.3707758192483,35763,34.61000061035156,USA,-86.45999908447266,85,31,AL,AL,35763
Gardendale,us,US,666.2229770487888,35071,33.66999816894531,USA,-86.83000183105469,79,32,AL,AL,35071
Selma,us,US,638.4370956386454,36701,32.40999984741211,USA,-87.02999877929688,77,33,AL,AL,36701
Northport,us,US,618.1291672113872,35473,33.22999954223633,USA,-87.58000183105469,75,34,AL,AL,35473
Moody,us,US,682.7432613557756,35004,33.59000015258789,USA,-86.5,75,35,AL,AL,35004
Hartselle,us,US,676.0221443788869,35640,34.45000076293945,USA,-86.94000244140625,72,36,AL,AL,35640
Millbrook,us,US,676.6241507189158,36054,32.4900016784668,USA,-86.37000274658203,71,37,AL,AL,36054
Ozark,us,US,713.911823643753,36360,31.440000534057617,USA,-85.6500015258789,67,38,AL,AL,36360
Gulf Shores,us,US,594.7598938377945,36542,30.270000457763672,USA,-87.72000122070312,61,39,AL,AL,36542
Jasper,us,US,645.8178128756673,35501,33.84000015258789,USA,-87.2699966430664,60,40,AL,AL,35501
Fort Rucker,us,US,709.8223021342254,36362,31.350000381469727,USA,-85.72000122070312,59,41,AL,AL,36362
Fort Payne,us,US,740.1032492416067,35967,34.45000076293945,USA,-85.70999908447266,59,42,AL,AL,35967
Hazel Green,us,US,705.7026624209585,35750,34.95000076293945,USA,-86.58999633789062,58,43,AL,AL,35750
Calera,us,US,664.1978957182006,35040,33.150001525878906,USA,-86.72000122070312,54,44,AL,AL,35040
New Market,us,US,711.5710302688391,35761,34.900001525878906,USA,-86.44999694824219,52,45,AL,AL,35761
Mc Calla,us,US,642.8284550890165,35111,33.27000045776367,USA,-87.13999938964844,49,46,AL,AL,35111
Oxford,us,US,718.8275108303783,36203,33.599998474121094,USA,-85.83999633789062,48,47,AL,AL,36203
